,Student ID,student_name,gender,grade,school_name,reading_score,math_score,reading_pass,math_pass,School ID,type,size,budget,bps
108,108,Ryan Lynch,M,12th,Huang High School,77,67,1,0,0,District,2917,1910635,655
109,109,Timothy Marks,M,9th,Huang High School,78,62,1,0,0,District,2917,1910635,655
110,110,Alexander Johns,M,10th,Huang High School,67,77,0,1,0,District,2917,1910635,655
111,111,Kenneth Chavez,M,9th,Huang High School,70,79,1,1,0,District,2917,1910635,655
112,112,Dennis Williams,M,10th,Huang High School,88,67,1,0,0,District,2917,1910635,655
113,113,Michael Roy,M,12th,Huang High School,85,73,1,1,0,District,2917,1910635,655
114,114,Richard Ryan,M,12th,Huang High School,88,86,1,1,0,District,2917,1910635,655
115,115,Matthew Reyes,M,12th,Huang High School,79,60,1,0,0,District,2917,1910635,655
116,116,Stephanie Ward,F,11th,Huang High School,75,69,1,0,0,District,2917,1910635,655
117,117,Christopher Tucker,M,10th,Huang High School,80,90,1,1,0,District,2917,1910635,655
118,118,Daniel Jones,M,12th,Huang High School,66,68,0,0,0,District,2917,1910635,655
119,119,Devin Craig,M,10th,Huang High School,65,80,0,1,0,District,2917,1910635,655
120,120,Erin Prince,F,12th,Huang High School,88,81,1,1,0,District,2917,1910635,655
121,121,Bernard Ortiz,M,11th,Huang High School,78,76,1,1,0,District,2917,1910635,655
122,122,Nicole Miller,F,10th,Huang High School,98,57,1,0,0,District,2917,1910635,655
123,123,Christopher Fritz,M,9th,Huang High School,88,77,1,1,0,District,2917,1910635,655
124,124,Bonnie Mckinney,F,11th,Huang High School,63,65,0,0,0,District,2917,1910635,655
125,125,Troy Nelson,M,11th,Huang High School,79,63,1,0,0,District,2917,1910635,655
126,126,Jennifer Lee,F,12th,Huang High School,93,66,1,0,0,District,2917,1910635,655
127,127,Ronald Ward,M,10th,Huang High School,74,89,1,1,0,District,2917,1910635,655
128,128,Nathaniel Hampton,M,11th,Huang High School,70,81,1,1,0,District,2917,1910635,655
129,129,Michael Travis,M,11th,Huang High School,65,79,0,1,0,District,2917,1910635,655
130,130,James Taylor,M,9th,Huang High School,77,71,1,1,0,District,2917,1910635,655
131,131,Thomas Strickland,M,9th,Huang High School,63,77,0,1,0,District,2917,1910635,655
132,132,Brittany Jackson,F,9th,Huang High School,79,57,1,0,0,District,2917,1910635,655
133,133,Marisa Lowe,F,9th,Huang High School,95,95,1,1,0,District,2917,1910635,655
134,134,Nicole Thomas,F,9th,Huang High School,83,59,1,0,0,District,2917,1910635,655
135,135,Matthew Rodriguez,M,12th,Huang High School,80,79,1,1,0,District,2917,1910635,655
136,136,Kent Fernandez,M,12th,Huang High School,66,58,0,0,0,District,2917,1910635,655
137,137,Michelle Martin,F,12th,Huang High School,86,92,1,1,0,District,2917,1910635,655
138,138,John Sparks,M,9th,Huang High School,74,91,1,1,0,District,2917,1910635,655
139,139,Ann Blake,F,11th,Huang High School,97,75,1,1,0,District,2917,1910635,655
140,140,Melissa Miller,F,12th,Huang High School,76,67,1,0,0,District,2917,1910635,655
141,141,Steven Houston,M,9th,Huang High School,99,71,1,1,0,District,2917,1910635,655
142,142,Kristen Anderson,F,11th,Huang High School,78,76,1,1,0,District,2917,1910635,655
143,143,Cory Jones,M,11th,Huang High School,82,73,1,1,0,District,2917,1910635,655
144,144,Jennifer Mora,F,10th,Huang High School,98,73,1,1,0,District,2917,1910635,655
145,145,Dennis Griffin,M,9th,Huang High School,78,71,1,1,0,District,2917,1910635,655
146,146,Darryl Brown,M,10th,Huang High School,98,90,1,1,0,District,2917,1910635,655
147,147,Martin Mosley,M,10th,Huang High School,90,67,1,0,0,District,2917,1910635,655
148,148,Joyce Diaz,F,10th,Huang High School,85,58,1,0,0,District,2917,1910635,655
149,149,Jeffrey Rose,M,12th,Huang High School,81,91,1,1,0,District,2917,1910635,655
150,150,Jamie Moreno,F,9th,Huang High School,78,99,1,1,0,District,2917,1910635,655
151,151,Catherine Williams,F,9th,Huang High School,66,56,0,0,0,District,2917,1910635,655
152,152,Lauren Byrd,F,11th,Huang High School,66,92,0,1,0,District,2917,1910635,655
153,153,Vanessa Frazier,F,10th,Huang High School,85,82,1,1,0,District,2917,1910635,655
154,154,Stephen Bryant,M,11th,Huang High School,83,77,1,1,0,District,2917,1910635,655
155,155,Lawrence Liu,M,12th,Huang High School,82,73,1,1,0,District,2917,1910635,655
156,156,Joseph Larsen,M,9th,Huang High School,88,82,1,1,0,District,2917,1910635,655
157,157,Susan Collier,F,11th,Huang High School,76,92,1,1,0,District,2917,1910635,655
158,158,Meagan Jensen,F,9th,Huang High School,66,67,0,0,0,District,2917,1910635,655
159,159,Julie Harper,F,12th,Huang High School,88,73,1,1,0,District,2917,1910635,655
160,160,Meghan Carroll,F,12th,Huang High School,75,98,1,1,0,District,2917,1910635,655
161,161,Wanda Horton,F,11th,Huang High School,68,88,0,1,0,District,2917,1910635,655
162,162,Mary Campbell,F,10th,Huang High School,72,56,1,0,0,District,2917,1910635,655
163,163,Jennifer Rodgers,F,11th,Huang High School,83,98,1,1,0,District,2917,1910635,655
164,164,Heather Cooper,F,12th,Huang High School,85,61,1,0,0,District,2917,1910635,655
165,165,Ryan Perez,M,11th,Huang High School,70,87,1,1,0,District,2917,1910635,655
166,166,Ryan Cox,M,12th,Huang High School,95,72,1,1,0,District,2917,1910635,655
167,167,Darren Zavala,M,10th,Huang High School,64,84,0,1,0,District,2917,1910635,655
168,168,Joseph Morales III,M,10th,Huang High School,64,85,0,1,0,District,2917,1910635,655
169,169,Aaron West,M,10th,Huang High School,98,67,1,0,0,District,2917,1910635,655
170,170,James Combs,M,10th,Huang High School,65,82,0,1,0,District,2917,1910635,655
171,171,Curtis Garner,M,10th,Huang High School,79,78,1,1,0,District,2917,1910635,655
172,172,Sarah Miller,F,10th,Huang High School,94,71,1,1,0,District,2917,1910635,655
173,173,Samantha Thomas,F,10th,Huang High School,92,62,1,0,0,District,2917,1910635,655
174,174,Robert Atkins,M,9th,Huang High School,85,97,1,1,0,District,2917,1910635,655
175,175,Alexis Crawford,M,10th,Huang High School,70,82,1,1,0,District,2917,1910635,655
176,176,Ryan Maddox,M,11th,Huang High School,80,80,1,1,0,District,2917,1910635,655
177,177,Jonathan Meyer,M,9th,Huang High School,65,79,0,1,0,District,2917,1910635,655
178,178,Donna Wagner,F,10th,Huang High School,95,61,1,0,0,District,2917,1910635,655
179,179,William Kennedy,M,11th,Huang High School,76,56,1,0,0,District,2917,1910635,655
180,180,Kimberly Martinez,F,11th,Huang High School,84,83,1,1,0,District,2917,1910635,655
181,181,Matthew Anderson,M,11th,Huang High School,92,99,1,1,0,District,2917,1910635,655
182,182,Kari Miller,F,9th,Huang High School,88,55,1,0,0,District,2917,1910635,655
183,183,Jenna Luna,F,9th,Huang High School,73,91,1,1,0,District,2917,1910635,655
184,184,Justin Contreras,M,12th,Huang High School,89,63,1,0,0,District,2917,1910635,655
185,185,Mary Fox,F,11th,Huang High School,94,92,1,1,0,District,2917,1910635,655
186,186,Joseph Perkins,M,10th,Huang High School,96,76,1,1,0,District,2917,1910635,655
187,187,Kelly Phillips,F,12th,Huang High School,78,90,1,1,0,District,2917,1910635,655
188,188,Justin Thornton,M,11th,Huang High School,65,61,0,0,0,District,2917,1910635,655
189,189,Joshua Barber,M,10th,Huang High School,77,61,1,0,0,District,2917,1910635,655
190,190,Travis Jackson,M,11th,Huang High School,86,96,1,1,0,District,2917,1910635,655
191,191,Jordan Beasley,F,10th,Huang High School,96,59,1,0,0,District,2917,1910635,655
192,192,Kevin Allen,M,12th,Huang High School,68,63,0,0,0,District,2917,1910635,655
193,193,Victoria Harris,F,11th,Huang High School,89,59,1,0,0,District,2917,1910635,655
194,194,Victoria Joseph,F,12th,Huang High School,72,56,1,0,0,District,2917,1910635,655
195,195,Brandy Marshall,F,11th,Huang High School,86,60,1,0,0,District,2917,1910635,655
196,196,Ryan Jimenez,M,11th,Huang High School,63,89,0,1,0,District,2917,1910635,655
197,197,Michael Chan,M,9th,Huang High School,63,69,0,0,0,District,2917,1910635,655
198,198,Christopher Phillips,M,9th,Huang High School,86,55,1,0,0,District,2917,1910635,655
199,199,Kevin Murphy,M,10th,Huang High School,85,99,1,1,0,District,2917,1910635,655
200,200,Vanessa Harper,F,12th,Huang High School,85,85,1,1,0,District,2917,1910635,655
201,201,James Ferguson,M,9th,Huang High School,96,66,1,0,0,District,2917,1910635,655
202,202,Carol Schroeder,F,12th,Huang High School,83,61,1,0,0,District,2917,1910635,655
203,203,Jerry Phillips,M,10th,Huang High School,82,72,1,1,0,District,2917,1910635,655
204,204,Kristin Wade,F,9th,Huang High School,71,56,1,0,0,District,2917,1910635,655
205,205,Jessica Warner,F,11th,Huang High School,94,83,1,1,0,District,2917,1910635,655
206,206,Dorothy Burke,F,11th,Huang High School,91,92,1,1,0,District,2917,1910635,655
207,207,Bethany Walter,F,9th,Huang High School,88,76,1,1,0,District,2917,1910635,655
208,208,Melissa Avery,F,9th,Huang High School,83,86,1,1,0,District,2917,1910635,655
209,209,Daniel Sutton,M,11th,Huang High School,86,96,1,1,0,District,2917,1910635,655
210,210,Ryan Johnson,M,9th,Huang High School,63,79,0,1,0,District,2917,1910635,655
211,211,Timothy Quinn,M,10th,Huang High School,83,76,1,1,0,District,2917,1910635,655
212,212,Zachary Allen,M,10th,Huang High School,64,87,0,1,0,District,2917,1910635,655
213,213,Lauren Schmitt,F,12th,Huang High School,71,61,1,0,0,District,2917,1910635,655
214,214,Stephanie Armstrong,F,11th,Huang High School,70,66,1,0,0,District,2917,1910635,655
215,215,Ruben Rivera,M,9th,Huang High School,65,79,0,1,0,District,2917,1910635,655
216,216,Patricia Petty,F,12th,Huang High School,79,98,1,1,0,District,2917,1910635,655
217,217,Joseph Jacobs,M,11th,Huang High School,96,68,1,0,0,District,2917,1910635,655
218,218,Bianca Wilson,F,11th,Huang High School,66,62,0,0,0,District,2917,1910635,655
219,219,Donald Perez,M,9th,Huang High School,87,79,1,1,0,District,2917,1910635,655
220,220,Curtis Gomez,M,9th,Huang High School,77,77,1,1,0,District,2917,1910635,655
221,221,Courtney Brown,F,9th,Huang High School,90,88,1,1,0,District,2917,1910635,655
222,222,Nicole Randall,F,9th,Huang High School,94,78,1,1,0,District,2917,1910635,655
223,223,Steven Lambert,M,11th,Huang High School,64,56,0,0,0,District,2917,1910635,655
224,224,Anthony Alvarez,M,10th,Huang High School,93,90,1,1,0,District,2917,1910635,655
225,225,Shawn Farrell,M,10th,Huang High School,89,87,1,1,0,District,2917,1910635,655
226,226,Jesus Schmidt,M,9th,Huang High School,80,76,1,1,0,District,2917,1910635,655
227,227,Laura Wright,F,12th,Huang High School,89,69,1,0,0,District,2917,1910635,655
228,228,Steven Smith,M,11th,Huang High School,66,65,0,0,0,District,2917,1910635,655
229,229,Norman Thompson,M,9th,Huang High School,99,78,1,1,0,District,2917,1910635,655
230,230,Anthony Wright,M,10th,Huang High School,76,64,1,0,0,District,2917,1910635,655
231,231,Kayla Watts,F,11th,Huang High School,74,89,1,1,0,District,2917,1910635,655
232,232,Aimee Johnson,F,9th,Huang High School,97,55,1,0,0,District,2917,1910635,655
233,233,Heidi Scott,F,12th,Huang High School,77,98,1,1,0,District,2917,1910635,655
234,234,Anthony Williams,M,10th,Huang High School,78,93,1,1,0,District,2917,1910635,655
235,235,Sarah Hill,F,12th,Huang High School,88,97,1,1,0,District,2917,1910635,655
236,236,Kim Wang,F,9th,Huang High School,90,71,1,1,0,District,2917,1910635,655
237,237,Beth Manning,F,11th,Huang High School,88,92,1,1,0,District,2917,1910635,655
238,238,Ryan Hanson,M,12th,Huang High School,87,83,1,1,0,District,2917,1910635,655
239,239,James Wood,M,9th,Huang High School,70,81,1,1,0,District,2917,1910635,655
240,240,Corey Greene,M,10th,Huang High School,70,94,1,1,0,District,2917,1910635,655
241,241,John Carter,M,11th,Huang High School,95,83,1,1,0,District,2917,1910635,655
242,242,Beth Garza,F,11th,Huang High School,75,92,1,1,0,District,2917,1910635,655
243,243,Karen Jones,F,9th,Huang High School,78,96,1,1,0,District,2917,1910635,655
244,244,Stephanie Poole,F,10th,Huang High School,95,59,1,0,0,District,2917,1910635,655
245,245,Lisa Brown,F,9th,Huang High School,99,72,1,1,0,District,2917,1910635,655
246,246,Paul Scott,M,10th,Huang High School,64,78,0,1,0,District,2917,1910635,655
247,247,Evelyn Buck,F,10th,Huang High School,68,60,0,0,0,District,2917,1910635,655
248,248,Terry Harrell,M,9th,Huang High School,86,69,1,0,0,District,2917,1910635,655
249,249,Leah Skinner,F,11th,Huang High School,70,79,1,1,0,District,2917,1910635,655
250,250,Anthony Mercado,M,11th,Huang High School,95,97,1,1,0,District,2917,1910635,655
251,251,Walter Kelly,M,9th,Huang High School,80,78,1,1,0,District,2917,1910635,655
252,252,Lori Evans,F,10th,Huang High School,99,66,1,0,0,District,2917,1910635,655
253,253,Ashley Jones,F,12th,Huang High School,96,72,1,1,0,District,2917,1910635,655
254,254,Amber Soto,F,9th,Huang High School,82,60,1,0,0,District,2917,1910635,655
255,255,Patrick Phillips,M,10th,Huang High School,64,62,0,0,0,District,2917,1910635,655
256,256,Linda Curry,F,11th,Huang High School,74,76,1,1,0,District,2917,1910635,655
257,257,Alexander Obrien,M,10th,Huang High School,68,90,0,1,0,District,2917,1910635,655
258,258,Vincent Garza,M,10th,Huang High School,97,61,1,0,0,District,2917,1910635,655
259,259,Terry Marsh,M,11th,Huang High School,99,69,1,0,0,District,2917,1910635,655
260,260,Angela Perkins DVM,F,11th,Huang High School,76,56,1,0,0,District,2917,1910635,655
261,261,Peter Hampton,M,9th,Huang High School,83,97,1,1,0,District,2917,1910635,655
262,262,David Cross,M,11th,Huang High School,68,61,0,0,0,District,2917,1910635,655
263,263,Clinton Ortega,M,10th,Huang High School,93,62,1,0,0,District,2917,1910635,655
264,264,Jamie Escobar,F,10th,Huang High School,91,91,1,1,0,District,2917,1910635,655
265,265,Sandra Mason,F,12th,Huang High School,76,83,1,1,0,District,2917,1910635,655
266,266,Craig Cole,M,12th,Huang High School,83,92,1,1,0,District,2917,1910635,655
267,267,Lisa Warren,F,12th,Huang High School,70,81,1,1,0,District,2917,1910635,655
268,268,Maria Howard,F,9th,Huang High School,74,91,1,1,0,District,2917,1910635,655
269,269,Michael Porter,M,11th,Huang High School,86,68,1,0,0,District,2917,1910635,655
270,270,John Turner,M,11th,Huang High School,78,99,1,1,0,District,2917,1910635,655
271,271,Timothy Wang,M,12th,Huang High School,93,75,1,1,0,District,2917,1910635,655
272,272,Amanda Taylor,F,9th,Huang High School,73,58,1,0,0,District,2917,1910635,655
273,273,Karen Mckenzie,F,9th,Huang High School,82,64,1,0,0,District,2917,1910635,655
274,274,Brandon Miles,M,11th,Huang High School,98,76,1,1,0,District,2917,1910635,655
275,275,Christina Whitaker,F,12th,Huang High School,86,89,1,1,0,District,2917,1910635,655
276,276,Nicole Peterson,F,9th,Huang High School,78,98,1,1,0,District,2917,1910635,655
277,277,Ashley Moore,F,9th,Huang High School,67,74,0,1,0,District,2917,1910635,655
278,278,Todd Carrillo,M,10th,Huang High School,80,99,1,1,0,District,2917,1910635,655
279,279,Robert Williams,M,10th,Huang High School,63,68,0,0,0,District,2917,1910635,655
280,280,Ashley Jones,F,9th,Huang High School,92,72,1,1,0,District,2917,1910635,655
281,281,Vanessa Parker,F,9th,Huang High School,67,78,0,1,0,District,2917,1910635,655
282,282,Robert Carlson,M,12th,Huang High School,73,82,1,1,0,District,2917,1910635,655
283,283,Jared Lewis,M,10th,Huang High School,77,56,1,0,0,District,2917,1910635,655
284,284,Christopher Hernandez,M,10th,Huang High School,92,64,1,0,0,District,2917,1910635,655
285,285,Kimberly Harris,F,9th,Huang High School,66,59,0,0,0,District,2917,1910635,655
286,286,Katrina Hill,F,10th,Huang High School,73,73,1,1,0,District,2917,1910635,655
287,287,Heather Lee,F,9th,Huang High School,71,69,1,0,0,District,2917,1910635,655
288,288,Donald Harmon,M,11th,Huang High School,63,67,0,0,0,District,2917,1910635,655
289,289,Elizabeth Sanders,F,10th,Huang High School,82,64,1,0,0,District,2917,1910635,655
290,290,Richard Ramsey,M,12th,Huang High School,80,60,1,0,0,District,2917,1910635,655
291,291,Carmen Johnson,F,12th,Huang High School,89,79,1,1,0,District,2917,1910635,655
292,292,Elaine Osborne,F,10th,Huang High School,91,69,1,0,0,District,2917,1910635,655
293,293,Kent Burns,M,9th,Huang High School,81,72,1,1,0,District,2917,1910635,655
294,294,Meagan Smith,F,11th,Huang High School,67,87,0,1,0,District,2917,1910635,655
295,295,Craig Hahn,M,9th,Huang High School,92,73,1,1,0,District,2917,1910635,655
296,296,Jeremy Wu,M,11th,Huang High School,72,81,1,1,0,District,2917,1910635,655
297,297,Aaron Rodriguez,M,11th,Huang High School,75,78,1,1,0,District,2917,1910635,655
298,298,Matthew Taylor,M,10th,Huang High School,64,63,0,0,0,District,2917,1910635,655
299,299,Diana Evans,F,11th,Huang High School,96,94,1,1,0,District,2917,1910635,655
300,300,Michele Pearson,F,12th,Huang High School,89,98,1,1,0,District,2917,1910635,655
301,301,Erik Wagner,M,12th,Huang High School,92,61,1,0,0,District,2917,1910635,655
302,302,Maria Welch,F,12th,Huang High School,74,97,1,1,0,District,2917,1910635,655
303,303,Debra Martin,F,12th,Huang High School,68,55,0,0,0,District,2917,1910635,655
304,304,Devon Conner,M,9th,Huang High School,91,89,1,1,0,District,2917,1910635,655
305,305,Christine Patel,F,9th,Huang High School,99,94,1,1,0,District,2917,1910635,655
306,306,David Lopez,M,9th,Huang High School,95,95,1,1,0,District,2917,1910635,655
307,307,Nathan Baird,M,11th,Huang High School,68,59,0,0,0,District,2917,1910635,655
308,308,Samuel Castillo,M,11th,Huang High School,98,57,1,0,0,District,2917,1910635,655
309,309,Rebecca Payne,F,11th,Huang High School,77,66,1,0,0,District,2917,1910635,655
310,310,Carl Johnson,M,10th,Huang High School,64,95,0,1,0,District,2917,1910635,655
311,311,William Adams,M,12th,Huang High School,85,82,1,1,0,District,2917,1910635,655
